Country,CO2_Emissions,Urbanization_Percentage,GDP_Per_Capita_Number,Population_Number
Philippines,117.2 million Mt  (2017 est.),46.9,8400.0,105893381
Poland,359 million Mt  (2017 est.),60.1,29600.0,38420687
Portugal,54.97 million Mt  (2017 est.),65.2,30500.0,10355493
Puerto Rico,19.85 million Mt  (2017 est.),93.6,39400.0,3294626
Qatar,114.2 million Mt  (2017 est.),99.1,124100.0,2363569
Romania,72.07 million Mt  (2017 est.),54.0,24600.0,21457116
Russia,1.847 billion Mt  (2017 est.),74.4,27900.0,142122776
Rwanda,"985,600 Mt  (2017 est.)",17.2,2100.0,12187400
"Saint Helena, Ascension, and Tristan da Cunha","10,650 Mt  (2017 est.)",39.8,7800.0,7841
Saint Kitts and Nevis,"248,100 Mt  (2017 est.)",30.8,28200.0,53094
Saint Lucia,"437,900 Mt  (2017 est.)",18.7,14400.0,165510
Saint Pierre and Miquelon,"100,200 Mt  (2017 est.)",90.2,46200.0,5471
Saint Vincent and the Grenadines,"226,800 Mt  (2017 est.)",52.2,11500.0,101844
Samoa,"341,100 Mt  (2017 est.)",18.2,5700.0,201316
Sao Tome and Principe,"148,100 Mt  (2017 est.)",72.8,3200.0,204454
Saudi Arabia,657.1 million Mt  (2017 est.),83.8,54500.0,33091113
Senegal,8.644 million Mt  (2017 est.),47.2,3500.0,15020945
Serbia,50.21 million Mt  (2017 est.),56.1,15100.0,7078110
Seychelles,1.15 million Mt  (2017 est.),56.7,29300.0,94633
Sierra Leone,"984,800 Mt  (2017 est.)",42.1,1600.0,6312212
Singapore,249.5 million Mt  (2017 est.),100.0,94100.0,5995991
Slovakia,34.86 million Mt  (2017 est.),53.7,33100.0,5445040
Slovenia,14.37 million Mt  (2017 est.),54.5,34500.0,2102126
Solomon Islands,"233,500 Mt  (2017 est.)",23.7,2200.0,660121
South Africa,572.3 million Mt  (2017 est.),66.4,13600.0,55380210
South Sudan,1.224 million Mt  (2017 est.),19.6,1600.0,10204581
Spain,286.7 million Mt  (2017 est.),80.3,38400.0,49331076
Sri Lanka,25.19 million Mt  (2017 est.),18.5,12900.0,22576592
Sudan,16.03 million Mt  (2017 est.),34.6,4300.0,43120843
Suriname,2.075 million Mt  (2017 est.),66.1,14900.0,597927
Sweden,52.31 million Mt  (2017 est.),87.4,51200.0,10040995
Switzerland,38.95 million Mt  (2017 est.),73.8,62100.0,8292809
Syria,27.51 million Mt  (2017 est.),54.2,2900.0,19454263
Taiwan,348.8 million Mt  (2017 est.),78.2,50500.0,23545963
Tajikistan,6.329 million Mt  (2017 est.),27.1,3200.0,8604882
Tanzania,14.57 million Mt  (2017 est.),33.8,3200.0,55451343
Thailand,355 million Mt  (2017 est.),49.9,17900.0,68615858
Timor-Leste,"533,400 Mt  (2017 est.)",30.6,6000.0,1321929
Togo,2.651 million Mt  (2017 est.),41.7,1700.0,8176449
Tonga,"139,700 Mt  (2017 est.)",23.1,5900.0,106398
Trinidad and Tobago,48.92 million Mt  (2017 est.),53.2,31300.0,1215527
Tunisia,23.42 million Mt  (2017 est.),68.9,11900.0,11516189
Turkey,379.5 million Mt  (2017 est.),75.1,27000.0,81257239
Turkmenistan,100.5 million Mt  (2017 est.),51.6,18200.0,5411012
Turks and Caicos Islands,"221,800 Mt  (2017 est.)",93.1,29100.0,53701
Uganda,4.703 million Mt  (2017 est.),23.8,2400.0,40853749
Ukraine,238.9 million Mt  (2017 est.),69.4,8800.0,43952299
United Arab Emirates,289.4 million Mt  (2017 est.),86.5,68600.0,9701315
United Kingdom,424 million Mt  (2017 est.),83.4,44300.0,65105246
United States,5.242 billion Mt  (2017 est.),82.3,59800.0,329256465
Uruguay,7.554 million Mt  (2017 est.),95.3,22400.0,3369299
Uzbekistan,95.58 million Mt  (2017 est.),50.5,6900.0,30023709
Vanuatu,"164,800 Mt  (2017 est.)",25.3,2700.0,288037
Venezuela,129.9 million Mt  (2017 est.),88.2,12500.0,31689176
Vietnam,235.3 million Mt  (2017 est.),35.9,6900.0,97040334
Virgin Islands,2.764 million Mt  (2017 est.),95.7,37000.0,106977
West Bank,3.113 million Mt  (2017 est.),76.2,4300.0,2798494
Western Sahara,"268,400 Mt  (2017 est.)",86.7,2500.0,619551
Yemen,13.68 million Mt  (2017 est.),36.6,2500.0,28667230
Zambia,3.777 million Mt  (2017 est.),43.5,4000.0,16445079
Zimbabwe,12.06 million Mt  (2017 est.),32.2,2300.0,14030368
